Value,Txn_Fee,Method
0.009783148,0.00032544,Transfer
0.0,0.00069341,Transfer
0.0,0.00496952,Unidentified
0.0,0.0008188,Other
0.0,0.00074871,Other
0.0,0.00068559,Approve
0.186520064,0.00156543,Other
0.0,0.02526359,Transfer
0.2,0.00237311,Execute
0.0,0.00440329,Execute
0.0,0.0004461,Transfer
0.0,0.0040359,Execute
0.002548591,0.00103135,Unidentified
0.0,0.00093043,Transfer
0.26093689,0.00030911,Transfer
0.373048245,0.00387308,Unidentified
0.0,0.00068045,Approve
0.006544706,0.00201764,Swap
0.0,0.00071463,Approve
0.0,0.00227469,Execute
0.001636176,0.00030911,Transfer
0.03272353,0.00030911,Transfer
0.0,0.00837836,Other
0.01,0.00332675,Execute
0.0,0.00071975,Approve
0.0,0.00169122,Other
0.22159621,0.00030911,Transfer
0.04444,0.00300765,Execute
0.299568222,0.00030911,Transfer
4.20894,0.00030911,Transfer
0.0,0.0008458,Transfer
0.015707294,0.00171339,Other
0.0,0.00093043,Transfer
0.0,0.0029013,Swap
0.0,0.00092811,Other
1.6804e-05,0.00030928,Transfer
0.067723872,0.00360398,Execute
0.0,0.0036963,Execute
0.0,0.00137198,Other
0.0,0.00042582,Approve
0.02,0.00190775,Other
0.0,0.00044865,Other
0.01804756,0.00030976,Transfer
0.01613234,0.0020456,Other
0.0,0.00044883,Other
0.0,0.0003107,Transfer
0.032733117,0.00030976,Transfer
0.0,0.00075402,Other
0.0,0.00266886,Other
0.0,0.00075588,Approve
0.114956496,0.00276073,Execute
0.0,0.0014692,Other
0.0,0.00090564,Other
0.002,0.00030976,Transfer
0.18,0.00066433,Other
0.105,0.00030976,Transfer
0.0005,0.00141076,Other
0.0,0.00365401,Other
0.098473349,0.00030976,Transfer
0.0,0.00068686,Approve
0.0,0.00262478,Execute
0.0,0.00068103,Approve
0.3,0.00268681,Execute
0.0,0.00293179,Execute
0.05,0.00030976,Transfer
0.2,0.00030976,Transfer
0.01073,0.00249971,Other
0.052454406,0.00030976,Transfer
0.0,0.00071788,Approve
0.00295,0.00030976,Transfer
0.024554,0.00030976,Transfer
0.0,0.0040167,Swap
0.013,0.00259124,Swap
0.05,0.00308872,Swap
0.0,0.00265964,Swap
0.25,0.00030987,Transfer
0.002,0.00190948,Other
0.101017216,0.00099628,Other
0.0,0.00093587,Transfer
0.08629,0.00031098,Transfer
0.0,0.00207905,Other
0.1915,0.00031098,Transfer
0.104617,0.00031119,Transfer
0.0,0.00072262,Approve
1.418332739,0.00031482,Transfer
0.013896464,0.000315,Transfer
3e-09,0.00413006,Unidentified
1.334767865,0.0003166,Transfer
0.26087478,0.0003166,Transfer
0.0,0.000523,Transfer
0.0,0.00060086,Transfer
0.445966978,0.00032158,Transfer
0.009826689,0.00032166,Transfer
0.0,0.00314619,Unidentified
0.0,0.00276857,Execute
0.0,0.0020049,Unidentified
0.0,0.00311853,Execute
0.0,0.00072723,Approve
0.0,0.00038146,Approve
0.0,0.00172751,Other
0.0,0.00033383,Transfer
0.00447317,0.000336,Transfer
0.0,0.00145332,Transfer
0.01,0.00034059,Transfer
0.033071585,0.00034431,Transfer
0.0,0.00105678,Transfer
0.0,0.00105678,Transfer
0.84709552,0.00035109,Transfer
0.0,0.00077069,Transfer
0.0,0.00105678,Transfer
0.0,0.00105678,Transfer
0.04,0.0028593,Swap
0.020938653,0.00035109,Transfer
0.0,0.00077089,Transfer
0.0,0.00040531,Approve
0.04039,0.00035109,Transfer
0.227417,0.00035109,Transfer
0.010018,0.00035109,Transfer
0.0,0.00086866,Transfer
4.5849233,0.00035109,Transfer
0.0,0.00105678,Transfer
0.08762362,0.00035109,Transfer
0.0,0.00105678,Transfer
0.001800433,0.00104266,Unidentified
0.008077,0.00035204,Transfer
0.03599,0.00035204,Transfer
0.01684,0.00035204,Transfer
0.00078562,0.000357,Transfer
0.000680608,0.000357,Transfer
0.00880201,0.000357,Transfer
0.0,0.00078385,Transfer
0.000693921,0.000357,Transfer
0.000740411,0.000357,Transfer
0.34,0.000357,Transfer
0.0,0.00106111,Transfer
0.0,0.00214799,Transfer
0.0,0.00083691,Approve
0.003204524,0.00037281,Transfer
0.0076,0.00037782,Transfer
0.182404207,0.00037782,Transfer
0.0,0.00082958,Transfer
0.0,0.000378,Transfer
0.0792,0.0003796,Transfer
0.057351553,0.0003796,Transfer
0.11,0.00050735,Other
0.099615605,0.00038439,Transfer
0.31,0.00285639,Unidentified
0.0,0.0006475,Transfer
,0.0007246,Other
0.016899728,0.00032563,Transfer
0.0,0.00093097,Transfer
0.167024088,0.00030947,Transfer
0.0,0.00066552,Transfer
0.0,0.01250689,Other
0.01801,0.00030993,Transfer
0.294,0.00206393,Other
0.184127387,0.00283534,Execute
0.0,0.00456746,Other
0.5,0.00103525,Other
0.0,0.00320056,Other
0.014025565,0.00030993,Transfer
0.0,0.0006878,Unidentified
3.999584216,0.00030993,Transfer
0.49106,0.00030993,Transfer
0.0,0.00228053,Execute
0.0,0.00118461,Other
0.0,0.00067716,Approve
0.0346,0.00030993,Transfer
0.0,0.00097914,Transfer
0.16,0.0026883,Execute
0.01,0.00030993,Transfer
0.001812701,0.00030993,Transfer
0.162,0.00030993,Transfer
0.0,0.00059566,Transfer
0.38,0.00081409,Other
0.0,0.00058061,Other
0.0,0.00068325,Approve
0.0,0.00353727,Execute
0.0,0.00057296,Transfer
0.006891858,0.00204673,Other
0.0,0.00085646,Other
0.21,0.00030993,Transfer
0.0,0.00093271,Transfer
0.25,0.00136569,Other
0.01,0.00132535,Other
0.02,0.00266018,Execute
0.0,0.0016307,Other
0.0,0.00130283,Other
0.0,0.00075934,Transfer
0.0,0.00068774,Approve
0.0,0.00310098,Execute
0.0,0.00079235,Transfer
0.0,0.00080684,Transfer
0.0,0.00408824,Execute
0.0,0.00523508,Other
0.0,0.00044872,Other
0.165387638,0.00364712,Swap
0.0,0.0007172,Approve
0.050420388,0.00030993,Transfer
0.0,0.00192807,Other
0.034,0.00030993,Transfer
0.0,0.00273137,Swap
0.0,0.00147595,Other
0.014096178,0.00030995,Transfer
0.048,0.00031002,Transfer
0.0,0.00216965,Other
0.0,0.00551433,Other
0.2,0.00266916,Execute
0.0,0.00093657,Transfer
80.15,0.00031115,Transfer
0.0378,0.00031115,Transfer
0.0438,0.00031115,Transfer
0.0,0.00229125,Execute
