Value,Txn_Fee,Method
0.009783148,0.00032544,Transfer
0.186520064,0.00156543,Other
0.2,0.00237311,Execute
0.002548591,0.00103135,Unidentified
0.26093689,0.00030911,Transfer
0.373048245,0.00387308,Unidentified
0.006544706,0.00201764,Swap
0.001636176,0.00030911,Transfer
0.03272353,0.00030911,Transfer
0.01,0.00332675,Execute
0.22159621,0.00030911,Transfer
0.04444,0.00300765,Execute
0.299568222,0.00030911,Transfer
4.20894,0.00030911,Transfer
0.015707294,0.00171339,Other
1.6804e-05,0.00030928,Transfer
0.067723872,0.00360398,Execute
0.02,0.00190775,Other
0.01804756,0.00030976,Transfer
0.01613234,0.0020456,Other
0.032733117,0.00030976,Transfer
0.114956496,0.00276073,Execute
0.002,0.00030976,Transfer
0.18,0.00066433,Other
0.105,0.00030976,Transfer
0.0005,0.00141076,Other
0.098473349,0.00030976,Transfer
0.3,0.00268681,Execute
0.05,0.00030976,Transfer
0.2,0.00030976,Transfer
0.01073,0.00249971,Other
0.052454406,0.00030976,Transfer
0.00295,0.00030976,Transfer
0.024554,0.00030976,Transfer
0.013,0.00259124,Swap
0.05,0.00308872,Swap
0.25,0.00030987,Transfer
0.002,0.00190948,Other
0.101017216,0.00099628,Other
0.08629,0.00031098,Transfer
0.1915,0.00031098,Transfer
0.104617,0.00031119,Transfer
1.418332739,0.00031482,Transfer
0.013896464,0.000315,Transfer
3e-09,0.00413006,Unidentified
1.334767865,0.0003166,Transfer
0.26087478,0.0003166,Transfer
0.445966978,0.00032158,Transfer
0.009826689,0.00032166,Transfer
0.00447317,0.000336,Transfer
0.01,0.00034059,Transfer
0.033071585,0.00034431,Transfer
0.84709552,0.00035109,Transfer
0.04,0.0028593,Swap
0.020938653,0.00035109,Transfer
0.04039,0.00035109,Transfer
0.227417,0.00035109,Transfer
0.010018,0.00035109,Transfer
4.5849233,0.00035109,Transfer
0.08762362,0.00035109,Transfer
0.001800433,0.00104266,Unidentified
0.008077,0.00035204,Transfer
0.03599,0.00035204,Transfer
0.01684,0.00035204,Transfer
0.00078562,0.000357,Transfer
0.000680608,0.000357,Transfer
0.00880201,0.000357,Transfer
0.000693921,0.000357,Transfer
0.000740411,0.000357,Transfer
0.34,0.000357,Transfer
0.003204524,0.00037281,Transfer
0.0076,0.00037782,Transfer
0.182404207,0.00037782,Transfer
0.0792,0.0003796,Transfer
0.057351553,0.0003796,Transfer
0.11,0.00050735,Other
0.099615605,0.00038439,Transfer
0.31,0.00285639,Unidentified
,0.0007246,Other
0.016899728,0.00032563,Transfer
0.167024088,0.00030947,Transfer
0.01801,0.00030993,Transfer
0.294,0.00206393,Other
0.184127387,0.00283534,Execute
0.5,0.00103525,Other
0.014025565,0.00030993,Transfer
3.999584216,0.00030993,Transfer
0.49106,0.00030993,Transfer
0.0346,0.00030993,Transfer
0.16,0.0026883,Execute
0.01,0.00030993,Transfer
0.001812701,0.00030993,Transfer
0.162,0.00030993,Transfer
0.38,0.00081409,Other
0.006891858,0.00204673,Other
0.21,0.00030993,Transfer
0.25,0.00136569,Other
0.01,0.00132535,Other
0.02,0.00266018,Execute
0.165387638,0.00364712,Swap
0.050420388,0.00030993,Transfer
0.034,0.00030993,Transfer
0.014096178,0.00030995,Transfer
0.048,0.00031002,Transfer
0.2,0.00266916,Execute
80.15,0.00031115,Transfer
0.0378,0.00031115,Transfer
0.0438,0.00031115,Transfer
0.000401365,0.00031136,Transfer
15.03,0.00031136,Transfer
0.01,0.00031287,Transfer
0.00292613,0.000315,Transfer
0.018919773,0.00031677,Transfer
0.57,0.00031678,Transfer
0.01567869,0.00200658,Other
0.006233369,0.00032869,Transfer
0.08,0.00033026,Transfer
0.10047379,0.00726236,Other
0.061833574,0.00033584,Transfer
13.072090529,0.00033826,Transfer
0.003695748,0.00034076,Transfer
0.018324183,0.00035126,Transfer
0.078807434,0.00313371,Execute
0.15805,0.00035126,Transfer
0.014724145,0.00035126,Transfer
12.0277,0.00035126,Transfer
0.1872,0.00035126,Transfer
5.5477,0.00035126,Transfer
0.016360878,0.00035126,Transfer
0.0513,0.00035126,Transfer
0.16,0.00035126,Transfer
0.1,0.00238648,Execute
1.0,0.00236815,Execute
0.011938,0.00035126,Transfer
1.0,0.0017017,Swap
0.0533,0.00309008,Execute
0.17270019,0.000357,Transfer
0.004366579,0.00035924,Transfer
0.230370494,0.00037226,Transfer
1.0,0.00292269,Swap
0.000378,0.000378,Transfer
0.093737454,0.00037977,Transfer
0.0132,0.00037977,Transfer
0.585846572,0.00037977,Transfer
0.186350324,0.00037977,Transfer
3.565970881,0.00038276,Transfer
0.002901936,0.000399,Transfer
0.006227576,0.00040385,Transfer
0.015845429,0.00040385,Transfer
0.011223436,0.00040385,Transfer
0.040584602,0.00040385,Transfer
0.315566271,0.00040479,Transfer
0.451901591,0.00041426,Transfer
0.653816827,0.00041426,Transfer
0.063452603,0.00042539,Transfer
1.4863e-05,0.00045413,Transfer
0.05190401,0.00047977,Transfer
0.0063413,0.000546,Transfer
0.001,0.00388937,Other
0.012442716,0.00034541,Transfer
,0.00303084,Unidentified
1.0,0.0208972,Swap
0.36,0.00249577,Swap
0.026237875,0.00031983,Transfer
0.133,0.00032049,Transfer
0.1,0.00246048,Execute
0.0014,0.00032049,Transfer
0.026479151,0.00418034,Execute
0.0334,0.00032049,Transfer
0.043,0.00032049,Transfer
0.014,0.00032049,Transfer
0.0005,0.00145965,Other
0.001,0.00117865,Other
0.11,0.00441306,Other
0.03929273,0.00032245,Transfer
0.31,0.00032049,Transfer
0.014976276,0.00032049,Transfer
0.003672272,0.00032049,Transfer
0.07,0.0026684,Execute
0.128,0.00205431,Unidentified
0.22,0.00236896,Execute
0.032738999,0.00099311,Other
0.002788484,0.00032169,Transfer
0.0369,0.00032172,Transfer
0.0357,0.00032172,Transfer
0.02,0.00032193,Transfer
13.65,0.00032193,Transfer
5.2,0.00032193,Transfer
3.996,0.00032193,Transfer
0.7,0.00308787,Other
0.019,0.00280467,Swap
0.188562403,0.00033171,Transfer
0.032727118,0.00033232,Transfer
0.305731401,0.00033232,Transfer
0.049171,0.00033826,Transfer
0.33751326,0.00034083,Transfer
0.745,0.00214852,Other
0.06806655,0.000357,Transfer
0.031664831,0.00035737,Transfer
0.04,0.00036183,Transfer
0.02269,0.00036183,Transfer
0.26,0.00292339,Execute
0.0977,0.00036183,Transfer
0.01931702,0.00036183,Transfer
0.00111251,0.00036183,Transfer
0.06216942,0.00036183,Transfer
0.0058,0.00330795,Execute
0.04991205,0.00036183,Transfer
0.01636608,0.00036183,Transfer
0.03115611,0.00036183,Transfer
0.03303974,0.00036183,Transfer
0.01189714,0.00036183,Transfer
0.08712608,0.00036183,Transfer
0.01093635,0.00036183,Transfer
0.07,0.00036183,Transfer
0.09880937,0.00036185,Transfer
0.009821807,0.0024701,Execute
1.5,0.00510743,Execute
0.0314,0.00037371,Transfer
0.079398,0.00037371,Transfer
0.003337545,0.000378,Transfer
0.013774264,0.00037892,Transfer
0.605968684,0.00039033,Transfer
0.044485294,0.00039151,Transfer
0.398088667,0.00039151,Transfer
0.0157084,0.00039151,Transfer
0.019667146,0.00039151,Transfer
0.065589932,0.00041006,Transfer
0.339076966,0.00045413,Transfer
0.058187732,0.0004604,Transfer
0.07929,0.000462,Transfer
0.998,0.000462,Transfer
0.044573753,0.00034047,Transfer
0.02,0.00530788,Unidentified
0.5,0.00438499,Unidentified
0.1,0.00585361,Unidentified
0.05,0.00520221,Swap
7.2e-08,0.00494101,Unidentified
5.0,0.00218355,Execute
7.1e-08,0.00129152,Unidentified
0.039600323,0.00032376,Transfer
0.140616718,0.00268568,Execute
0.12,0.00081308,Other
0.056,0.00030816,Transfer
0.0236,0.00030816,Transfer
1.571002035,0.00045413,Transfer
0.01652005,0.00031395,Transfer
0.016,0.00034949,Transfer
0.100597,0.00034949,Transfer
0.015987566,0.00030751,Transfer
0.0421555,0.00034949,Transfer
0.0081,0.00032113,Transfer
0.1628,0.00032113,Transfer
0.0146226,0.00035999,Transfer
0.001547,0.00092049,Other
0.150606354,0.00030816,Transfer
0.082135505,0.00038473,Transfer
0.027637253,0.00031061,Transfer
0.556494604,0.00256706,Execute
0.07,0.00223252,Other
0.00014084,0.00030818,Transfer
0.25,0.00030827,Transfer
0.25,0.00030827,Transfer
0.25,0.00030827,Transfer
0.25,0.00030827,Transfer
0.032352,0.00030959,Transfer
0.009,0.00034504,Transfer
0.01069,0.00033365,Transfer
0.02729,0.00033365,Transfer
0.048998791,0.00030751,Transfer
0.00102827,0.00030751,Transfer
0.00643767,0.00030751,Transfer
0.228754683,0.00030751,Transfer
0.290678941,0.00040911,Other
3.739e-06,0.00080778,Other
0.008173288,0.00030759,Transfer
0.003926823,0.00199253,Swap
0.105851213,0.00272334,Unidentified
0.33,0.00357334,Execute
0.014862757,0.00030816,Transfer
0.111,0.00030816,Transfer
0.00213,0.00030816,Transfer
0.00689,0.00030816,Transfer
0.5,0.00030816,Transfer
0.106883403,0.00030816,Transfer
1.2,0.00030816,Transfer
0.085,0.00030816,Transfer
0.01833528,0.00030816,Transfer
0.023613272,0.00030816,Transfer
0.3,0.00030818,Transfer
0.00135,0.00030818,Transfer
9.8261e-05,0.00030818,Transfer
0.035,0.00030818,Transfer
0.02307426,0.00030818,Transfer
0.00811,0.00030818,Transfer
0.00215,0.00030818,Transfer
0.2704,0.00030818,Transfer
0.4,0.00030818,Transfer
0.17025,0.00030818,Transfer
0.000680335,0.00030818,Transfer
0.026,0.00030818,Transfer
4.0,0.00030818,Transfer
0.01637,0.00030818,Transfer
0.03274973,0.00030818,Transfer
0.042,0.00030818,Transfer
0.01,0.00030818,Transfer
0.6,0.00030818,Transfer
0.05438561,0.00030818,Transfer
0.004,0.00030818,Transfer
0.25,0.00030827,Transfer
0.1103,0.00030938,Transfer
0.01994,0.00030938,Transfer
0.0212,0.00030938,Transfer
0.0916,0.00030938,Transfer
0.063253437,0.00030959,Transfer
0.00499,0.00030959,Transfer
0.22,0.0009538,Other
0.28,0.00111047,Transfer
0.06,0.00118229,Transfer
0.69099673,0.00031022,Transfer
0.039684642,0.00031535,Transfer
0.010441442,0.00031535,Transfer
3.4,0.00031799,Transfer
0.11456162,0.00032113,Transfer
0.001219135,0.00032113,Transfer
0.00140644,0.00032113,Transfer
0.00321588,0.00032113,Transfer
0.010851571,0.00032813,Transfer
0.710694925,0.00032849,Transfer
1.1563e-05,0.00033637,Transfer
0.00272195,0.00078132,Transfer
0.00138138,0.00033899,Transfer
0.6559413,0.00034949,Transfer
0.03084,0.00034949,Transfer
0.001758714,0.00034949,Transfer
0.010002,0.00034949,Transfer
0.07052208,0.00034949,Transfer
0.002168911,0.00035442,Transfer
0.191362645,0.000378,Transfer
0.030071238,0.00038713,Transfer
0.159506732,0.00049877,Transfer
0.035770538,0.00049877,Transfer
0.3608964,0.0005586,Transfer
2.0,0.00189847,Execute
1.2,0.0020324,Unidentified
1.01,0.00157635,Other
0.346566493,0.00236632,Execute
1.12,0.00256651,Execute
0.3,0.00256651,Execute
0.068,0.00095817,Other
1.0267e-05,0.0035627,Other
12.0,0.00050114,Other
5.0,0.00278935,Other
0.4,0.0032214,Execute
0.500177174,0.00209977,Other
0.15,0.00075405,Other
0.05,0.00240112,Execute
0.26022884,0.0010092,Other
0.000777,0.002802,Unidentified
0.8,0.00179718,Swap
