Txn_Hash,Method,Block,Age,From,To,Value,Txn_Fee
0xb2deb0a15a0436eb2f5170735ac6d27921eafba8b7f6b1fe479e3a0b0536063c,Transfer,19690737,11 secs ago,0x0AFfB0a9...346cf3Ab8,,0.009783148 ETH,0.00032544
0xd3f9443d187d1bea09b529e17690dfeeb9db8a1abcc37665cf3718a78e69c974,Transfer,19690737,11 secs ago,0x2c419FdF...255ed7A38,,0 ETH,0.00069341
0xb9437939dd55555f49ac4aab6207f0f97c751e67734779cb7b30000e7024fdf2,0x415565b0,19690737,11 secs ago,0x6Ae76248...109D9eE68,,0 ETH,0.00496952
0x99b44542bfbc094768d0133761b1c5fd4b6285fb0edaab9b95e299c922ea0fbc,Send,19690737,11 secs ago,0x0a80220A...c69722E9b,,0 ETH,0.0008188
0xf0afa8167a03c9c8bfb59de16e805cc471026b2371bdc4261764d8bbed60af62,Mint,19690737,11 secs ago,0x86b59b0B...fbee3bd42,,0 ETH,0.00074871
0x09d92127b86f6056750c968fd1422928e4b8a4361a3f6eddda72e0521c6e6e21,Approve,19690737,11 secs ago,0x956327Cf...2402090CD,,0 ETH,0.00068559
0x1ffb1e11484e5b6d67c3a10682480ee7a41de1cb352a0daa19c33ccff008dcb0,Request L2Transa...,19690737,11 secs ago,0xCc6ac517...0D61bFf4f,,0.186520064 ETH,0.00156543
0xb9925df8a96ae643d33a7715e22b0706dabc97ecc6ba52cd5d3a806d5e32bb14,Transfer*,19690737,11 secs ago,0x415c8893...226b84AA7,Null: 0xFf0...457,0 ETH,0.02526359
0x51ed2939a057353a713b6ac713f375fac8d114a8a020af466dc4e212cc282944,Execute,19690737,11 secs ago,0x369B284E...Fc0106DD6,,0.2 ETH,0.00237311
0xf60833db7d147ea482921ef5ef8e25e17d0add5c750ae4f17becbb87a208c252,Execute Message,19690737,11 secs ago,0x4C5dDC6B...6D98f210f,,0 ETH,0.00440329
0x08720f5da0c0c3997c9e98875c8a942c360bd00f1314e674425e10b24730e1d2,Transfer,19690737,11 secs ago,0x3F477B6b...42B3B2E36,,0 ETH,0.0004461
0xac2df8702635a337abae8899627e76ab3c1322c666fb2476195029f09208d2b1,Execute Message,19690737,11 secs ago,0x4C5dDC6B...6D98f210f,,0 ETH,0.0040359
0x1aff19d62ac5f14388be39f06f9adf4c4081d5501730ff889e994f6489ab7e02,0x00000195,19690737,11 secs ago,0x0FCF5F5A...39C57C3E1,,0.002548591 ETH,0.00103135
0x1ccc4766f81fb0a9f17e1391e4dbf4dcbeec159d04261bdaf626abb7b26d7bd0,Transfer,19690737,11 secs ago,Transak: Wallet 1,,0 ETH,0.00093043
0x638e26a2d42ffb98aecea93638e8aaf67e55e41881260c7aef47ad803d471acd,Transfer,19690737,11 secs ago,0x8badd8b5...750A71594,0x6F14f76D...0B4d36A24,0.26093689 ETH,0.00030911
0xd3c6c022ea1b642a621aef9373db10f7d507d68f27830fdf93659883fd619956,0x415565b0,19690737,11 secs ago,0x70309E18...E1Acfc7E5,,0.373048245 ETH,0.00387308
0xef14f5033fc2cc94cbe12418f6d950e7e4d31decc1bbccec8af13a7ed6c59f14,Approve,19690737,11 secs ago,0x423Df3F3...17Ef2d989,,0 ETH,0.00068045
0x37df0b9d106f8df87bea8029cbb3e734dbc8383ef08ca0ada979161aebabecf2,Swap,19690737,11 secs ago,0x0551995E...299f2B0C8,,0.006544706 ETH,0.00201764
0xf1bbae117cd9cd21c3b388234ef37cce2388b829ee5d914b1f5c0a17912f7607,Approve,19690737,11 secs ago,0x39a1718E...57f3f0462,,0 ETH,0.00071463
0x81a0f9ba156b475b5d593b09b12de0c66da720874fdb992b50d043a9c72b5035,Execute,19690737,11 secs ago,0xd434C86D...B613a51E3,,0 ETH,0.00227469
0x869f0dc36ee8f24e1a260df64b1d273a4958856741301c856802f31ec40dbbd6,Transfer,19690737,11 secs ago,0xdE4b2523...9Eb0638FE,0xb7c32448...221952634,0.001636176 ETH,0.00030911
0x33fd7d08f5439220ff7656e6c05ee7284c1865da54ff86aa13881b1f12944f5b,Transfer,19690737,11 secs ago,0xef5360da...d159BE229,0x04AE6BeE...3b9120e41,0.03272353 ETH,0.00030911
0xbb3be00cf8f908b97a85179b712ba11794ba7be96826d4d296e76d730706470b,Submit Blocks Wi...,19690737,11 secs ago,0x7961076f...4055FA6C7,,0 ETH,0.00837836
0x93a7c1ca201d0cf006e2864ab034b1639d9c269fb99a57c92b67ca4d09b55f9d,Execute,19690737,11 secs ago,0x05Ed536B...d997c1f78,,0.01 ETH,0.00332675
0x9b4f4796f387bd917bb259af8158e91a6c47a9c56f905b146c4a934f8867952b,Approve,19690737,11 secs ago,0x139E92D4...0Dc08694B,,0 ETH,0.00071975
0x93ec920cedaba3ea7729c23b380da7fd480514b2ac68a1fd289be7e20f38950f,Fulfill Op Reque...,19690737,11 secs ago,0x6150d215...C65350ad3,,0 ETH,0.00169122
0xd520bbb8852bd74db021abc2f0c14d315d66245abea53b9e7fffb5c1f3699ee0,Transfer,19690737,11 secs ago,0x967897C9...A665AF294,0x77b1cd88...6c067AB4E,0.22159621 ETH,0.00030911
0x656864e447cec3f10460f8b49a9be91b995e5f7e565f31464308ab6693d85674,Execute,19690737,11 secs ago,0x30912193...113dd1960,,0.04444 ETH,0.00300765
0x058cf959319ab8b16925c9fd02e6a1811e299201552d496ee04cf43b4bc0e2bc,Transfer,19690737,11 secs ago,0x293f40D8...1e0426113,0x18322A9d...196b263DA,0.299568222 ETH,0.00030911
0xb391a69c8417493030fd238b5ba222eb1316ea64c37252bcb99c6165c41087f9,Transfer,19690737,11 secs ago,Rollbit: Hot Wallet,0x112fFeB0...7013Bd142,4.20894 ETH,0.00030911
0xaf4c869b1367193171a7d8b2e7ac1190cc1fcf87dab77cccbd0e2f7e89fe64bf,Transfer,19690737,11 secs ago,0xEEeD5526...859137Ec4,,0 ETH,0.0008458
0x96c39f846bb741156b68b66d15b0502bb9f86f9e92717a8e10fe5f0f2831341c,Sell Eth For Tok...,19690737,11 secs ago,0x940575bE...05f7B19ca,,0.015707294 ETH,0.00171339
0xffe3d3c87489cc6a77b985cac6a5b6cbaae277abf5f614e231fa787d096be2eb,Transfer,19690737,11 secs ago,0x8358f02a...60e736c02,,0 ETH,0.00093043
0x04455208cf3168e778050f7e989b3b63178762393a9e6edce938b917b2afd42e,Swap Tokens Gene...,19690737,11 secs ago,0xbAC654a7...494dF8A34,LI.FI: LiFi Diamond,0 ETH,0.0029013
0xa4203983838a4b71af97828d3b29003f1a6e7338600a953abaf8d075f10d05b5,Add Balance,19690737,11 secs ago,0x0fDE5F47...e0B79B269,,0 ETH,0.00092811
0x48c0ec0027762d649a7c50f7824c5aaa94d15d70710a6d34557ef7335604f9cc,Transfer,19690737,11 secs ago,0xC24cAC2b...bE864b114,0x27d688A4...FA39fbF79,0.000016804 ETH,0.00030928
